B_Max,B_Meal,Bolus Values,Confidence,Frequency
11.0,3.0,5.0,1.0,1.0
18.0,16.0,10.0,1.0,1.0
13.0,8.0,2.0,1.0,1.0
17.0,18.0,8.0,1.0,1.0
18.0,17.0,2.0,1.0,1.0
16.0,8.0,4.0,1.0,1.0
17.0,7.0,12.0,1.0,1.0
19.0,17.0,6.0,1.0,1.0
13.0,2.0,3.0,1.0,1.0
15.0,9.0,9.0,1.0,1.0
7.0,3.0,1.0,1.0,1.0
18.0,15.0,6.0,1.0,1.0
16.0,10.0,4.0,1.0,1.0
4.0,4.0,1.0,1.0,1.0
15.0,12.0,10.0,1.0,1.0
18.0,7.0,4.0,1.0,1.0
19.0,12.0,2.0,1.0,1.0
17.0,2.0,2.0,1.0,1.0
18.0,11.0,3.0,1.0,1.0
14.0,6.0,3.0,1.0,1.0
19.0,16.0,8.0,1.0,1.0
16.0,16.0,2.0,1.0,1.0
17.0,14.0,7.0,1.0,1.0
5.0,5.0,3.0,1.0,1.0
14.0,14.0,6.0,1.0,1.0
19.0,9.0,10.0,1.0,1.0
15.0,10.0,2.0,1.0,1.0
3.0,3.0,9.0,1.0,1.0
6.0,6.0,6.0,1.0,1.0
12.0,2.0,5.0,1.0,1.0
15.0,15.0,4.0,1.0,1.0
14.0,10.0,3.0,1.0,1.0
9.0,2.0,6.0,1.0,1.0
14.0,4.0,3.0,1.0,1.0
10.0,3.0,7.0,1.0,1.0
10.0,2.0,9.0,1.0,1.0
16.0,14.0,6.0,1.0,1.0
17.0,16.0,5.0,1.0,1.0
9.0,4.0,4.0,0.75,3.0
18.0,14.0,1.0,0.6666666666666666,2.0
8.0,8.0,1.0,0.6666666666666666,2.0
12.0,12.0,2.0,0.6666666666666666,2.0
14.0,12.0,7.0,0.6666666666666666,2.0
16.0,13.0,4.0,0.6666666666666666,2.0
6.0,4.0,6.0,0.6,3.0
9.0,9.0,1.0,0.6,3.0
14.0,9.0,10.0,0.5,1.0
13.0,7.0,8.0,0.5,1.0
13.0,6.0,4.0,0.5,1.0
14.0,9.0,3.0,0.5,1.0
12.0,11.0,4.0,0.5,3.0
8.0,6.0,1.0,0.5,1.0
8.0,6.0,3.0,0.5,1.0
15.0,14.0,5.0,0.5,1.0
5.0,3.0,0.0,0.5,1.0
12.0,9.0,4.0,0.5,1.0
15.0,7.0,5.0,0.5,1.0
11.0,4.0,4.0,0.5,1.0
15.0,5.0,12.0,0.5,1.0
19.0,14.0,9.0,0.5,1.0
15.0,7.0,4.0,0.5,1.0
11.0,4.0,5.0,0.5,1.0
13.0,7.0,4.0,0.5,1.0
12.0,8.0,1.0,0.5,1.0
15.0,14.0,11.0,0.5,1.0
15.0,5.0,8.0,0.5,1.0
16.0,6.0,4.0,0.5,2.0
15.0,6.0,7.0,0.5,1.0
14.0,5.0,6.0,0.5,1.0
13.0,5.0,5.0,0.5,1.0
13.0,6.0,6.0,0.5,1.0
14.0,5.0,4.0,0.5,1.0
15.0,6.0,9.0,0.5,1.0
15.0,13.0,4.0,0.5,1.0
16.0,15.0,5.0,0.5,2.0
15.0,13.0,8.0,0.5,1.0
4.0,2.0,2.0,0.5,1.0
12.0,8.0,4.0,0.5,1.0
5.0,3.0,8.0,0.5,1.0
10.0,4.0,7.0,0.5,2.0
19.0,14.0,2.0,0.5,1.0
4.0,2.0,1.0,0.5,1.0
13.0,5.0,7.0,0.5,1.0
7.0,4.0,3.0,0.5,2.0
12.0,9.0,2.0,0.5,1.0
8.0,7.0,1.0,0.46153846153846156,6.0
9.0,8.0,2.0,0.4444444444444444,4.0
10.0,5.0,4.0,0.4444444444444444,4.0
9.0,5.0,8.0,0.42857142857142855,3.0
13.0,12.0,4.0,0.4,2.0
13.0,12.0,7.0,0.4,2.0
6.0,5.0,2.0,0.4,2.0
5.0,4.0,4.0,0.4,2.0
6.0,5.0,3.0,0.4,2.0
