B_Max,B_Meal,Bolus Values,Confidence
9.0,6.0,4.0,0.14285714285714285
9.0,5.0,2.0,0.14285714285714285
9.0,5.0,6.0,0.14285714285714285
9.0,5.0,3.0,0.14285714285714285
9.0,5.0,4.0,0.14285714285714285
13.0,13.0,2.0,0.13333333333333333
13.0,13.0,1.0,0.13333333333333333
10.0,9.0,6.0,0.125
10.0,8.0,6.0,0.125
7.0,6.0,6.0,0.125
7.0,6.0,9.0,0.125
11.0,8.0,4.0,0.125
10.0,9.0,4.0,0.125
7.0,6.0,0.0,0.125
14.0,13.0,2.0,0.125
10.0,8.0,9.0,0.125
14.0,13.0,5.0,0.125
11.0,8.0,2.0,0.125
10.0,9.0,7.0,0.125
14.0,13.0,7.0,0.125
14.0,13.0,6.0,0.125
10.0,8.0,5.0,0.125
10.0,9.0,2.0,0.125
11.0,8.0,9.0,0.125
11.0,11.0,6.0,0.1111111111111111
8.0,5.0,12.0,0.1111111111111111
10.0,5.0,3.0,0.1111111111111111
11.0,6.0,5.0,0.1111111111111111
7.0,7.0,1.0,0.1111111111111111
9.0,8.0,10.0,0.1111111111111111
11.0,6.0,3.0,0.1111111111111111
11.0,6.0,6.0,0.1111111111111111
7.0,7.0,3.0,0.1111111111111111
8.0,5.0,3.0,0.1111111111111111
10.0,7.0,12.0,0.1111111111111111
11.0,11.0,10.0,0.1111111111111111
10.0,5.0,8.0,0.1111111111111111
11.0,6.0,2.0,0.1111111111111111
7.0,7.0,8.0,0.1111111111111111
8.0,5.0,6.0,0.1111111111111111
8.0,5.0,10.0,0.1111111111111111
8.0,5.0,5.0,0.1111111111111111
10.0,7.0,16.0,0.1111111111111111
10.0,7.0,8.0,0.1111111111111111
11.0,6.0,8.0,0.1111111111111111
9.0,8.0,1.0,0.1111111111111111
11.0,6.0,4.0,0.1111111111111111
10.0,5.0,1.0,0.1111111111111111
9.0,8.0,3.0,0.1111111111111111
11.0,6.0,10.0,0.1111111111111111
7.0,7.0,0.0,0.1111111111111111
11.0,9.0,2.0,0.1
11.0,9.0,7.0,0.1
10.0,6.0,3.0,0.09090909090909091
9.0,7.0,2.0,0.09090909090909091
10.0,6.0,5.0,0.09090909090909091
10.0,6.0,9.0,0.09090909090909091
10.0,6.0,4.0,0.09090909090909091
10.0,6.0,1.0,0.09090909090909091
10.0,6.0,10.0,0.09090909090909091
7.0,5.0,11.0,0.08333333333333333
7.0,5.0,4.0,0.08333333333333333
7.0,5.0,1.0,0.08333333333333333
7.0,5.0,2.0,0.08333333333333333
7.0,5.0,9.0,0.08333333333333333
7.0,5.0,5.0,0.08333333333333333
7.0,5.0,7.0,0.08333333333333333
8.0,7.0,7.0,0.07692307692307693
8.0,7.0,0.0,0.07692307692307693
8.0,7.0,3.0,0.07692307692307693
8.0,4.0,2.0,0.07692307692307693
13.0,13.0,11.0,0.06666666666666667
13.0,13.0,9.0,0.06666666666666667
13.0,13.0,5.0,0.06666666666666667
13.0,13.0,7.0,0.06666666666666667
